ID,author,Topic,Question,Ordered,Correct,Ans1,Msg1,Ans2,Msg2,Ans3,Msg3,Ans4,Msg4,Ans5,Msg5
poly1,mwk+tim,poly,What is the maximum number order that can be fit in Polynomial regression?,FALSE,$n - 1$,$n$,"Remember that two points make a line, three points define a parabola, and so forth",$n - 1$,Woohoo!,$p$,We have not introduced the concept of predictors in this question,$p - 1$,We have not introduced the concept of predictors in this question,$1$,"Parabolas exist, as do cubic functions, etc"
poly2,mwk+tim,poly,Which of the following is true about orthogonal polynomials?,FALSE,They are linear combinations of original data.;They are mean zero (except for the intercept);They are mutually ortogonal (uncorrelated),They are linear combinations of original data.,Woohoo!,They do not contain the same information as the original variables.,Orthogonal coding works because it DOES incorporate the same information,The are mean zero (including the intercept),Not including the intercept :),They are mean zero (except for the intercept),Intercept does not have to be zero!!!,They are mutually ortogonal (uncorrelated),This is true!
poly3,mwk+tim,poly,"In orthogonal polynomial coding, what does each variable represent?",FALSE,"$z_1$ captures all information in $x$ beyond the intercept, $z_2$ captures all information in $x^2$ beyond the linear term and intercept, and so forth","$z_1$ captures all information in $x$ beyond the intercept, $z_2$ captures all information in $x^2$ beyond the intercept, and so forth",Reread this carefully :),"$z_1$ captures all information in $x$ beyond the intercept, $z_2$ captures all information in $x^2$ beyond the linear term and intercept, and so forth",Correct!,"$z_1$ captures all information in $x_1$ beyond the intercept, $z_2$ captures all information in $x_2$ beyond the intercept, and so forth","These are subscripts, which then makes this traditional regression","$z_1, z_2$ are completely unrelated to input matrix $x$.",This is wrong. Ooof.,None of the above,There are some of the above...
poly4,kelly,poly,"You have one predictor, one outcome, and 6 data points. What is the minimum order of polynomial would perfectly fit this data, and is it appropriate to use that order in your model?",FALSE,"5, but it would be inappropriate unless you can justify and interpret the use of the higher order polynomial","6, and it would be appropriate because the model will hit all 6 data points with no residuals","It only takes 5 orders to hit all 6 points (remember that a parabola from a second order polynomial can hit three points, and a perfect fit of the model doesn't mean it represents the actual relationship well)","6, but it would be inappropriate unless you can justify and interpret the use of the higher order polynomial",We do not need a 6th order polynomial to perfectly model 6 data points,"5, and it would be appropriate because the model will hit all 6 data points with no residuals",a perfect fit of the model doesn't mean it represents the actual relationship well. How would you interpret a 5th order polynomial for a simple predictor-outcome relationship?,"5, but it would be inappropriate unless you can justify and interpret the use of the higher order polynomial",Heck yeah babyyyyy,None of the above,There are some of the above...
poly5,kelly,poly,"when adding additional orders to a natural polynomial, which of the following is a concern for your model fit?",FALSE,inflation of variance due to collinearity between terms that are based on the same input predictor,inflation of variance due to collinearity between terms that are based on the same input predictor,"Yep! If two terms in the model are derived from the same input data, they will liekly have high collinearity and variance inflation",Inability to capture nonlinear relationships between a predictor and outcome,The purpose of adding additional orders to a polynomial is to allow our model to deviate from a linear relationshio,Adding orders to a polynomial are hard to justify or interpret,"As a rule, adding anything above a cubic polynomial needs to be justified and can be hard to interpret, but lower orders can be added to represent a nonlinear relationship between a predictor and the outcome",All of the above,Incorrect,None of the above,There are some of the above...
poly6,kelly,poly,"in an orthogonal polynomial model with coefficients estimates $a_0$ to $a_k$, performing an F test on paramter $a_3$ is equivalent to what in a natural polynomial model with coefficient estimates $\beta_0$ to $\beta_k$?",FALSE,An in-order test for $\beta_3$,An added-last test for $\beta_3$,Orthogonal polynomials contain only the information added by the additional order of the polynomial and nothing after. An added last test would also be testing against the higher order polynomials in the model in addition to the earlier ones,An in-order test for $\beta_3$,"Slay queen! orthogonal polynomials should contain all additional information added by that order of the natura polynomial, none of the earlier redundant information, and none of the information that comes after",It depends on whether the F test of $a_3$ is added in-order or added-last,"orthogonal polynomials have no collinearity between the input data for each term, so in-order and added-last tests will be equivalent","Nothing, as they are different models","Orthogonal and natural polynomial models are made from the same data, just arranged differently",None of the above,There are some of the above...
poly7,kelly,poly,"After graphing a predictor against an outcome, you see the relationship between the two is linear (and not flat) but changes directions starkly at 4 predictor thresholds. What is an appropriate response?",FALSE,Set linear splines at the thresholds,"Fit a normal linear regression, averaging the relationship across the distribution","This could be justified, but the final regression won't reflect the changing relationships across the predictor distribution",Set linear splines at the thresholds,Yes! These splines will allow the linear relationship to change at these thresholds,Add multiple orders of natural polynomials,"This could work in some cases, but would make the line deviate from linearity between the thresholds. Also, fitting the breakpoints with natural polynomials could require higher than 3 or 4 orders, which is hard to interpret",Give up,"Slay queen! The world is too complex to be meaningfully modeled and your very existence is just a blip in the background chemical chaos of the universe! This answer is still technically incorrect, but don't let that stop you!",None of the above,There are some of the above...
poly8,kelly,poly,Which of the following is NOT true regarding moving average and loess regression,FALSE,They work well both in the middle of the data distribution and at the edges,"For a given $x$, the input values for a moving average are weighted equally, while loess gives greater weight to input values with a predictor value closer to x","Actually, this statement is true! While moving average and loess can include different amounts of the total data when trying to calculate a predicted $Y$ for a given $x$, loess typically gives greater weight to input values whose $x$-value is closer to the desired $x$",They work well both in the middle of the data distribution and at the edges,"Correct; this is not true! Both methods involve predicting Y for a given x by averaging the Y values for data points with x's close to the given x. At the edges of the distirbution, however, there are no data points further out to include in the average, so the predicted Y is unduly influenced by the data points that ARE present closer to the center of the distribution","Both are nonparametric regressions, allowing for nonlinear and distribution specific prediction of $Y$","This is actually true! Both have reduced power to detect monotonic or linear relationships relative to regular parametric regression (like linear regression), but are better able to represent complex or nonlinear relationships",They are typically applied for predictors and outcomes that are both continuous,"This is actually true! Both methods work by averaging the Y values for data points whose x values are close to the given x we want to predict. This requires that the Y values can be averaged (so must be continuous) and that x-values can be defined as ""close to each other"", which typically means continuous (although can apply for certain ordinal categories but not usually)",None of the above,There are some of the above...
poly9,qoua,poly,"You have 1000 of x and y pairs, you create an essence matrix that is 92 x 1. What order polynomial will past through all the points with a $\sigma^2 = 0$?",FALSE,91,1000,Some points are redundant,999,The essence matrix shows what points are redundant,92,"It takes 2 points to fit a straight line, 3 points to fit a parabola",91,Correct,90,One more point is needed
poly10,mwk,poly,A moving average nonparametric smoother,TRUE,Is problematic at the upper and lower limits of $X$,Is problematic at the upper and lower limits of $X$,"This is true, but is it the only thing that is true",Is not sensitive to interval width,It is sensitive to interval width - depends if you use 3 or 5 or 7 or etc.,Work best with one categorical predictor and one continuous predictor,"Lecture 11, Slide 38",Both I and II,II is not true,Both I and III,III is not true
